match_id,puuid,region_id,queue_id
EUW1_7400782358,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7400713318,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7397838457,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374779745,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374766596,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374746775,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374721270,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374698862,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374666491,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374463577,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7374071779,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7373866674,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7373660140,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7373652025,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
