region,tier,division,summonerId,puuid
euw1,PLATINUM,I,-YpELxSwz-_V0cVcji8_Z8QKj-rk0ptGAROa3hGH4uJcO_Wq,B32HRzhy83OWfGODNoxpxT0fMELkk3I5lMulevhfXAmYAzeNj3xJAlW1WASLPTlnGd3sUbGp54gGLA
euw1,PLATINUM,I,Os3SIwLpSBapPlGuQEQSAEJb3Ki-ftqWIrXrvjK-U3VEVJ5L,bVcoQPcSyDYs7Nwwdgua7ihB9O3ZRdPSRPfx2DH7qJSZaNUpOs4wX5RmUYeQ9Qhx0FFfXe5CZe3lXg
euw1,PLATINUM,I,2oCRgfn1mEQoZpgG4bDputa5OVM0GtFoVag3Zc-l8dgtEpnh,olzNhcEEwsopbsxC2t2Ahto4aWsZmxmSUp9hQJdVIzyok0b2JUMnofZZxbT486_l57MTUQtb2dsqaw
euw1,PLATINUM,I,ozW8w6c8zB8gsR50N1otlQ3xxN-GXefC-NL-FTbL_xoAU2TR,7DI7sjKAdW_X_Yl6jTg2oCRJgmsSsaQO-ua_SwQ1CFo4Xos7wInlo8JNg2ViDxIYeOXpMMWqQbvhtA
euw1,PLATINUM,I,u2ZZwnKLZHvUuZL_KoMsa7wVAdSxun6TtNoiJu2KJA1dYJa5,8L9tp9IJS_oqwaVhXIVGNI5OnYa7j4wAEIQFPUBTEMBlh2m8HUFnuAdyZTYfmFaCfaFTMMI2SbZ8uA
euw1,PLATINUM,I,zvtGSpLm7nNwrKmQAFHfAol6sXlQt44ZqTeIrj1x42s8POJj,3gVMtpLkEL0ZkQdddbDLKzOYk7VByGEizLA-NaupIN_HIvoQoUlfwu4cXRDBh2o93jwXMc9dqV1D0g
euw1,PLATINUM,I,vqgDiv25h9hyzGvjnQoFYD3PUSJG08HcfurLkrUfSKjpndCk,v5OcOar952LRDSMq2DMj9DNVnnNliaY9SBhsYZ7z6ZkoSY0BIjkiD_ZOFAzJ_M0ghIFfCanK5XS-zA
euw1,PLATINUM,I,xCM4LgxFz307cvYJ3rHJZtzCXoDHtuoaG0hOB-LpTddthOK0,9mGOEcTJ3rmpocLJL6-s0uXbjXkY62HW9ipi7sqSBJn2FeLd-IuKs0KumaCwjm52fu2d5JIeMiLW7A
euw1,PLATINUM,I,WKoqU__8f-QUaWgzKgUftv6xxqatKF-apybRWEWLlT6Un5Ty,ngfPDiiI27lzYwPBgGbNeneWWkVchX4Bs9V1QUSxUlv3CDWBuQ3euklb_urIOotgbYz8_Dw87XbAxg
euw1,PLATINUM,I,m3wJeW0u2HtVN5rzYFb6-b3ZFLRQUH0d0uNBpvEXgN0xdRSW,H5TJ8MZdY33p7AMetw7eEjkMaCv7X5aKmKt72qhSWp3g2OSwEWyw4FPUmego9zUn0c3E1fl3tbBiVA
euw1,PLATINUM,II,D8q0f8387nf6OtPg_7D4dBHv0ig9mnkBIm8oUn0qWfb9-ya8,bZlayN3ZSXG5gn3bgW_UTzQHc6voVjS3_vfhySZqR3w0IDuZNXWreHyBlusnWF1YZjVpPAbuvFMjug
euw1,PLATINUM,III,D7TSJhFwVUzMQdcTTXV6PR8fEuzp9S2MkAAECgyvhkFE6Gp5,z8LDMMLwCcTWej34hj3U7usybGD5A3f7x1VnIvZG7vuh9YqAyp39VvK6k1rJAkzu1Pjjtaad4jz-Kw
euw1,PLATINUM,IV,qMo2rmU3ZqbBpvUSvfbvMmQdyj-I8fRvX6xfxD8oU1EJcvpU,uYS1QpZgIjSy8W9MaAuGCUi5_AoB2ZkBVm5F7LR_lEVQbkARL-ufd30DD8Cc0y-BWChKIYbt6UnmSg
euw1,EMERALD,I,iIDmKSpHeY9IlmuXbdZNU6YQXZ20vDu0fXAFh4b9XJbCxqNy,2EhDCmiITXL_-uMXQ6XTjOjqU-U-Y1brG3r7TDkTECGWtdxs4mL--kCKLa8AgdZGwgpdRaJj40Qt_g
euw1,EMERALD,I,d3KCurkcD-2m7dtPonFa_OTJGHs5yYIrZBRll58iFUFVu5fY,ysPkXEH5ZPQEm1-Zk1dGDwhl6cMEqHD5b0i9a-jT0kxpWAm4taIWlDuTQwVe_yKFxwKQanjKTxGR5w
euw1,EMERALD,I,SWRFIn3WJQdgOmGohrjE824oDImQE9mtRvhH1_bjjsde0vdJ,_XP5ryY_XjUs3OPOrD2yDyI8xEhyTGH0MaIR0A60bNkKUFsxVGvYYCE3dovEi8CZhmj4AQ9Iej1twA
euw1,EMERALD,I,afbR3WqqRgRrhjp3rhSKEvrDQBjU10EsyopQZ8oaVGkMHBgB,F4o37eY6A4EzJYi8OgwIsE7EXaMZxVdEyIGjj58JyTQR4_lek4Z8wNGvHPhp14w1QoKv-nJ502ly1Q
