champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
887,kr,GOLD,6,3,4.33,24416.33,13801.67,222.5,38.5,0.5,0.0055,0.0591
887,kr,PLATINUM,22,14,4.48,22276.41,13189.45,209.5,34.27,0.6364,0.0194,0.0653
887,na1,DIAMOND,10,6,3.11,16809.7,10826.0,176.4,19.1,0.6,0.0087,0.4351
887,na1,EMERALD,6,2,0.85,24474.33,11307.17,187.67,16.17,0.3333,0.0053,0.1855
887,na1,GOLD,6,3,2.12,27922.5,11881.5,178.0,18.5,0.5,0.0057,0.1057
887,na1,PLATINUM,3,2,2.16,33907.0,15123.0,201.33,25.0,0.6667,0.0027,0.164
888,eun1,DIAMOND,5,3,8.22,12823.0,9691.4,30.4,87.4,0.6,0.0044,0.0035
888,eun1,EMERALD,3,1,2.0,11855.67,9232.67,32.33,76.0,0.3333,0.0026,0.0035
888,eun1,GOLD,2,0,2.47,16194.0,9988.5,32.0,66.0,0.0,0.0019,0.0037
888,eun1,PLATINUM,2,1,1.13,9864.5,7589.0,35.5,64.0,0.5,0.0017,0.0035
888,euw1,DIAMOND,1,1,18.0,5306.0,7295.0,18.0,52.0,1.0,0.0009,0.0026
888,euw1,PLATINUM,4,2,2.22,16116.0,9274.75,40.0,87.25,0.5,0.0035,0.0017
888,kr,GOLD,2,1,3.95,9897.0,8101.0,45.5,57.5,0.5,0.0018,0.0055
888,kr,PLATINUM,1,0,1.09,7141.0,7439.0,31.0,55.0,0.0,0.0009,0.0026
888,na1,DIAMOND,2,1,3.33,9216.5,7571.5,25.0,47.5,0.5,0.0017,0.0026
888,na1,EMERALD,5,3,2.48,6838.4,7691.6,29.4,60.8,0.6,0.0044,0.0044
888,na1,PLATINUM,2,1,4.79,9101.5,9589.0,42.0,82.0,0.5,0.0018,0.0009
893,eun1,EMERALD,1,0,1.4,23475.0,8849.0,150.0,20.0,0.0,0.0009,0.0774
893,eun1,GOLD,3,1,1.53,17448.33,9381.67,193.33,27.67,0.3333,0.0028,0.041
893,euw1,DIAMOND,3,2,3.53,21610.0,8569.0,145.0,9.33,0.6667,0.0026,0.0843
893,euw1,EMERALD,3,2,2.64,40322.67,15436.67,246.33,22.0,0.6667,0.0027,0.0976
893,euw1,GOLD,10,5,3.25,26338.8,12177.2,180.7,23.6,0.5,0.0089,0.048
893,euw1,PLATINUM,5,5,6.09,31272.6,14038.4,224.6,20.4,1.0,0.0044,0.0759
